Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1953;07;    52.6;    52.6;   131.7;   142.3;    84.3;    47.4;    69.9;    69.7;    92.9;    89.3;    96.1;   130.4;    83.4;    49.7;    58.7;    70.0;    92.9;
1954;07;   157.1;   157.4;   130.8;   245.4;   112.1;   108.5;   168.1;   167.6;   161.0;    85.5;   144.4;    82.3;   276.7;   144.6;   149.8;   156.4;   168.5;
1955;07;   110.7;   111.4;   135.8;   169.0;    82.0;    86.2;    91.6;    91.7;    58.9;    84.9;    43.2;    85.2;   195.9;   154.8;   152.0;   148.5;   118.3;
1956;07;    76.3;    76.3;   140.1;   144.1;   164.4;    50.7;   127.7;   126.7;   156.7;    97.7;    57.0;    94.9;   125.1;   113.2;   138.7;   170.8;   123.5;
1957;07;   104.5;   104.9;   124.6;   163.2;    88.4;    85.3;    99.9;    99.6;   106.4;    84.6;    65.3;    87.2;   188.7;    82.7;    86.2;    90.5;   115.2;
1958;07;    90.0;    90.4;   108.3;   108.1;    67.5;    82.3;   102.5;   102.6;    99.5;    59.1;   112.6;    79.8;   137.8;    73.7;    77.1;    81.4;    96.6;
1959;07;    93.1;    93.3;    62.3;    93.9;    40.9;    70.9;    45.5;    45.6;    43.0;    32.5;    50.1;    34.4;   109.4;    36.2;    37.8;    39.9;    64.0;
1960;07;    74.8;    75.0;    95.6;   103.4;    91.6;   100.6;    74.7;    74.6;    93.0;    78.4;    94.4;   117.2;    66.2;    50.8;    57.1;    65.0;    86.2;
1961;07;    69.7;    69.7;   116.5;    91.3;   106.2;    92.4;    99.6;    99.9;   107.4;    91.6;   106.8;   106.8;    66.5;    58.8;    66.3;    75.8;    92.7;
1962;07;    73.3;    73.0;    65.5;    87.5;    78.0;    73.8;   103.1;   102.9;   102.8;    62.4;    95.6;    69.9;    74.0;    73.2;    76.5;    80.6;    83.2;
